Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
4,0,1,0,21,22,0,0,0,0,0,0.982216141569283,-5.00868444275249,21,22,0,0,0
1,1,1.01943015881626,0,0,0,0,0,0,0,0,1.01943015881626,0,0,0,42.3889185962957,-38.4956885811977,0
2,0,1,0,40,8,49,49,0,0,0,1.06346327423573,-3.30357100106654,40,8,49,49,0
3,0,1,0,22,13,0,0,0,0,0,1.03044112215406,-3.90155843820059,22,13,0,0,0
4,0,1,0,28,5,0,0,0,0,0,1.04418323795592,-5.56912941698036,28,5,0,0,0
1,1,1.0651481719458,0,0,0,0,0,0,0,0,1.0651481719458,0,0,0,79.2624046018744,0.39677296813263,0
2,0,1,0,49,20,48,36,0,0,0,1.04641535643922,-5.14507510069614,49,20,48,36,0
3,0,1,0,38,22,0,0,0,0,0,1.03688362625473,-4.89102515786545,38,22,0,0,0
4,0,1,0,38,18,0,0,0,0,0,1.02031726098712,-6.63068016728413,38,18,0,0,0
1,1,1.03816841454914,0,0,0,0,0,0,0,0,1.03816841454914,0,0,0,63.6398341498763,2.29761886611071,0
2,0,1,0,48,21,34,28,0,0,0,1.01478464070209,-6.18188839118695,48,21,34,28,0
3,0,1,0,22,19,0,0,0,0,0,1.00143860877136,-6.28141825899026,22,19,0,0,0
4,0,1,0,26,12,0,0,0,0,0,0.986328001791687,-8.2502953280812,26,12,0,0,0
1,1,1.04528808761248,0,0,0,0,0,0,0,0,1.04528808761248,0,0,0,47.6914439882192,-43.6481493406681,0
2,0,1,0,33,6,45,48,0,0,0,1.05999197508502,-0.567854209776673,33,6,45,48,0
3,0,1,0,28,14,0,0,0,0,0,1.01760371259238,-1.0275417929819,28,14,0,0,0
4,0,1,0,30,14,0,0,0,0,0,1.01898587764493,-3.05804507343861,30,14,0,0,0
1,1,1.07681449980935,0,0,0,0,0,0,0,0,1.07681449980935,0,0,0,77.6891783932084,-39.7076913129069,0
2,0,1,0,47,19,37,44,0,0,0,1.11064528394619,-5.53572529882622,47,19,37,44,0
3,0,1,0,30,13,0,0,0,0,0,1.10235281390514,-4.93359033402725,30,13,0,0,0
4,0,1,0,36,8,0,0,0,0,0,1.09504550409881,-6.5477983747349,36,8,0,0,0
1,1,1.05157027056572,0,0,0,0,0,0,0,0,1.05157027056572,0,0,0,96.2630020575517,-31.3263311135172,0
2,0,1,0,25,14,31,38,0,0,0,1.0563783789799,-2.73430648853353,25,14,31,38,0
3,0,1,0,49,14,0,0,0,0,0,1.02718569909355,-2.78280083257278,49,14,0,0,0
4,0,1,0,49,8,0,0,0,0,0,1.01278617010309,-4.33443613720252,49,8,0,0,0
1,1,1.07720993135641,0,0,0,0,0,0,0,0,1.07720993135641,0,0,0,65.7373356125941,-48.3674806470628,0
2,0,1,0,37,7,27,43,0,0,0,1.10850764235233,-3.83863452403643,37,7,27,43,0
3,0,1,0,34,5,0,0,0,0,0,1.0963772242889,-4.02231135170199,34,5,0,0,0
4,0,1,0,20,12,0,0,0,0,0,1.09190390637445,-5.4188944120515,20,12,0,0,0
1,1,1.06319608644736,0,0,0,0,0,0,0,0,1.06319608644736,0,0,0,60.4240342547803,-38.9568234487703,0
2,0,1,0,38,11,25,50,0,0,0,1.09367179762151,-3.58792316634941,38,11,25,50,0
3,0,1,0,26,13,0,0,0,0,0,1.06843241994468,-3.30345463172964,26,13,0,0,0
4,0,1,0,20,21,0,0,0,0,0,1.06073800222525,-4.50412238085049,20,21,0,0,0
1,1,1.0582711623547,0,0,0,0,0,0,0,0,1.0582711623547,0,0,0,58.0348046981346,-30.5150039255512,0
2,0,1,0,33,7,41,44,0,0,0,1.05468868853012,-1.11424228429748,33,7,41,44,0
3,0,1,0,34,16,0,0,0,0,0,1.0274721114413,-2.39954207640667,34,16,0,0,0
4,0,1,0,30,17,0,0,0,0,0,1.01740518798138,-3.50916825367597,30,17,0,0,0
1,1,1.07097741581943,0,0,0,0,0,0,0,0,1.07097741581943,0,0,0,94.6404710791575,8.76594064349661,0
